Country Name,Country Code,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Slovak Republic,SVK,2527918,2541882,2554351,2566215,2576899,2586549,2586860,2586034,2594317,2603031,2609229,2613457,2617105,2619526,2621152,2616580,2610775,2608838,2606234,2604997,2604797,2604701,2605478,2607966,2611932,2615093,2619446,2625101,2629163,2632812,2636126,2638974,
Slovenia,SVN,943505,955809,967346,969565,969541,969845,969858,967807,965016,963776,964371,964816,965130,964872,967130,970977,972703,973484,973469,973981,976479,981507,989806,994571,1006589,1013281,1016862,1019789,1021499,1022690,1023745,1024822,
Sweden,SWE,4123069,4132074,4146113,4165967,4194722,4227935,4257253,4282520,4307573,4338418,4361478,4368790,4371768,4374858,4379212,4387548,4400990,4417335,4436188,4456489,4477600,4506575,4544223,4584071,4627539,4671177,4710289,4748680,4792299,4843205,4897811,4952881,
Swaziland,SWZ,332873,346143,360944,376492,391696,405761,418339,429631,440039,450234,460659,471531,482613,493339,502905,510818,516809,521264,525058,529391,535160,542655,551651,561790,572486,583309,594186,605227,616407,627714,639129,650624,
Sint Maarten (Dutch part),SXM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,SYC,32923,33064,34406,34430,34548,34669,35127,35318,36109,37127,37690,38232,38650,39364,40093,40411,40405,41619,41141,41055,41399,42547,43138,44503,44952,46298,44930,45014,45372,45619,46294,46727,
Syrian Arab Republic,SYR,5379521,5560115,5741103,5922870,6106246,6291884,6479459,6668733,6860543,7056008,7255800,7460977,7671045,7883400,8094410,8301811,8497455,8681602,8869734,9083487,9334248,9637512,9978071,10300027,10527281,10609278,10526374,10306703,10007087,9709384,9476226,9319586,
Turks and Caicos Islands,TCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,TCD,2520404,2596979,2680390,2769390,2862078,2957188,3054425,3154482,3258229,3366950,3481688,3602321,3728810,3862314,4004255,4155474,4316795,4487427,4664675,4844762,5025057,5204330,5383489,5564685,5751110,5945016,6147109,6356437,6571561,6790306,7011173,7233680,
East Asia & Pacific (IDA & IBRD countries),TEA,739701638,752288233,765727156,779342487,792608389,805408937,817619220,829009689,839959694,850838749,861525205,872049766,882486274,892592328,902166916,911253098,919980819,928361189,936480679,944454585,952398225,960130846,967617879,975040493,982376301,989627762,996877254,1004196496,1011541416,1018933344,1026272522,1033766748,
Europe & Central Asia (IDA & IBRD countries),TEC,194995948,197082570,199157343,201148810,203028873,204447269,205387991,206224638,206954222,207292381,207517650,207607343,207809992,207939435,208016230,207793569,207615973,207374146,207347098,207417934,207525654,207694766,207936768,208380285,209189752,210095689,211122329,212225849,213449088,214671505,215936334,217163969,
Togo,TGO,1607500,1661754,1715261,1767617,1818554,1868054,1915520,1961366,2007839,2057992,2113926,2176687,2245451,2318245,2392101,2464925,2536086,2606337,2676688,2748740,2823622,2901558,2982127,3065139,3150226,3237089,3325724,3416172,3508176,3601435,3695716,3790924,
Thailand,THA,25944505,26381261,26818438,27246553,27652441,28027322,28366281,28673898,28962387,29249189,29546438,29858796,30181097,30503634,30812008,31095804,31352392,31585197,31797115,31993177,32177316,32349481,32508950,32658233,32800412,32937517,33071121,33200429,33322186,33431636,33525448,33602744,
Tajikistan,TJK,2247990,2322448,2399869,2477435,2551394,2619106,2679709,2734093,2783591,2830371,2876225,2921364,2965925,3011594,3060347,3113660,3172341,3236218,3304564,3376117,3449915,3525763,3603881,3684200,3766717,3851352,3937935,4026160,4115719,4206239,4297349,4388876,
Turkmenistan,TKM,1589003,1629270,1671000,1714728,1761133,1810468,1863188,1918482,1973775,2025649,2071646,2110941,2144271,2172828,2198500,2222834,2246150,2268457,2290684,2313876,2338884,2366011,2395431,2427689,2463291,2502514,2545621,2592265,2641249,2690950,2740071,2788175,
Latin America & the Caribbean (IDA & IBRD countries),TLA,193883361,197829239,201754178,205668135,209587098,213521288,217471462,221428337,225379886,229309837,233205018,237064340,240887599,244663968,248380721,252030711,255606434,259114604,262579813,266036367,269508650,273004029,276514660,280030938,283537022,287019844,290476794,293907692,297303964,300655774,303955087,307196934,
Timor-Leste,TLS,338119,346771,354420,361844,370281,380487,393009,407212,421323,432941,440470,442934,441272,438200,437565,442014,452701,468533,487211,505301,520410,531747,540219,547102,554365,563433,574652,587491,601492,615916,630202,644255,
Middle East & North Africa (IDA & IBRD countries),TMN,98924783,101945307,105014101,108088627,111115607,114056611,116893872,119634653,122297477,124913528,127507456,130083629,132639205,135184019,137728562,140281842,142852475,145445279,148060551,150696092,153352284,156025339,158722078,161465411,164285207,167200179,170222273,173338077,176509579,179683502,182821373,185904308,
Tonga,TON,47482,47578,47731,47918,48107,48247,48343,48424,48483,48575,48709,48901,49142,49410,49666,49885,50051,50191,50324,50469,50671,50922,51227,51560,51875,52155,52380,52586,52788,53025,53332,53725,
South Asia (IDA & IBRD),TSA,523027772,535123007,547356373,559738214,572290494,585019267,597931959,610995860,624161673,637359673,650546068,663680004,676760145,689818564,702899398,716024971,729206656,742398560,755525757,768484517,781201583,793645599,805837701,817823417,829673379,841455920,853178424,864820933,876382061,887859971,899236696,910525150,
Sub-Saharan Africa (IDA & IBRD countries),TSS,220996716,227340823,233839700,240493544,247308790,254287698,261440145,268765701,276253478,283890902,291666617,299586706,307667207,315932167,324417507,333148763,342006635,351188571,360665378,370467991,380619184,391129426,401998592,413226005,424803640,436727194,448994462,461609092,474553927,487809243,501360100,515199499,
Trinidad and Tobago,TTO,582152,588866,594687,599755,604333,608616,612661,616424,619798,622644,624878,626459,627525,628337,629272,630612,632442,634724,637341,640125,642931,645737,648558,651411,654317,657281,660286,663292,666169,668802,671086,672976,
Tunisia,TUN,3675120,3769911,3862579,3954083,4046068,4139447,4234537,4330037,4423295,4510735,4589802,4659897,4721779,4776028,4823727,4866000,4902775,4934690,4964558,4995947,5031534,5072490,5118496,5168733,5221655,5276099,5331846,5389229,5448154,5508579,5570360,5633365,
Turkey,TUR,24296163,24778730,25252926,25718911,26177659,26630242,27075855,27514942,27951472,28390724,28836409,29289935,29750081,30214659,30680211,31144013,31608022,32072999,32533848,32983843,33419567,33836453,34239579,34646916,35082894,35564197,36093447,36662268,37262158,37880004,38503089,39134031,
Tuvalu,TUV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanzania,TZA,10795904,11131439,11473107,11826311,12198424,12593971,13016642,13462920,13921568,14376912,14818278,15242342,15654258,16062410,16479154,16914323,17369951,17845733,18346385,18876870,19440653,20040656,20676460,21343892,22036516,22749589,23481793,24234425,25008404,25805502,26626880,27472687,
Uganda,UGA,7286182,7536952,7803387,8082041,8367929,8657463,8950365,9247883,9550018,9857101,10169958,10488107,10813008,11149808,11505250,11884265,12288992,12718547,13171110,13643416,14133034,14639704,15164165,15706009,16264901,16840537,17432690,18041164,18665686,19306040,19962087,20633652,
Ukraine,UKR,23508613,23625608,23753232,23896381,24047886,24132193,24205248,24291679,24316378,24202725,24015106,23802078,23581453,23363674,23134103,22890456,22648593,22411048,22214988,22029860,21849100,21678822,21524682,21384102,21269621,21172699,21092530,21043666,21003947,20912854,20866322,20802948,
Upper middle income,UMC,947916070,963569063,980001728,996523481,1012594097,1027914957,1042234675,1055612363,1068540120,1081216763,1093690725,1105852790,1118014349,1129732229,1140879296,1151372301,1161173604,1170571464,1179826948,1188946414,1198037908,1206944976,1215612326,1224383272,1233448551,1242542506,1251826256,1261512410,1271395647,1281344086,1291133908,1300974442,
Uruguay,URY,1468830,1476428,1483833,1491381,1499500,1508497,1518372,1528919,1539931,1551118,1562191,1573268,1584228,1594223,1602188,1607436,1609549,1608966,1606942,1605252,1605187,1607195,1610943,1615997,1621598,1627195,1632687,1638288,1644050,1650064,1656399,1663032,
United States,USA,116695844,117758675,118778957,119821864,120933139,122308854,123987526,125778639,127526177,129183889,130812745,132419522,134095800,135736774,137370537,138971948,140416645,141784968,143064009,144443341,145822985,147269908,148704288,150141736,151490722,152796770,153982182,155184527,156327578,157545543,158747453,159894419,
Uzbekistan,UZB,8937086,9167153,9399762,9635901,9876922,10146775,10375825,10634605,10892269,11119670,11330538,11553711,11774859,11964827,12092261,12258274,12411842,12561854,12706319,12851966,13001681,13161957,13352582,13571695,13806471,14206189,14597643,14819572,15058470,15320041,15594513,15872485,
St. Vincent and the Grenadines,VCT,51184,51688,52195,52676,53105,53444,53704,53884,53998,54077,54138,54180,54207,54232,54274,54331,54422,54542,54670,54804,54912,55005,55080,55136,55174,55201,55204,55190,55177,55190,55223,55306,
"Venezuela, RB",VEN,8833125,9062768,9296897,9533825,9771324,10007670,10242224,10475105,10706378,10936406,11165454,11393320,11619788,11845154,12069840,12294123,12518029,12741378,12964096,13186013,13406968,13626956,13845818,14063080,14278102,14490421,14699759,14906157,15109908,15311501,15511223,15709154,
British Virgin Islands,VGB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgin Islands (U.S.),VIR,52151,51983,51784,51069,50328,50763,51117,51469,51790,52054,52221,52290,52367,52430,52441,52457,52346,52285,52249,52188,52116,51973,51735,51453,51159,50857,50563,50281,50003,49716,49407,49091,
Vietnam,VNM,28953918,29639699,30384624,31135606,31885847,32504221,33114475,33715886,34310185,34896083,35475742,36048843,36615091,37179548,37738263,38243628,38725596,39171019,39624033,40100906,40577831,41044326,41511628,41979740,42451764,42922690,43401114,43887817,44373117,44866211,45365382,45864678,
Vanuatu,VUT,67684,69044,70451,71943,73585,75410,77459,79705,82032,84265,86304,88088,89673,91186,92802,94642,96764,99101,101617,104204,106797,109387,111984,114607,117263,119962,122709,125494,128306,131145,134007,136882,
World,WLD,2432466946,2475890777,2520492342,2565589673,2610742647,2656459874,2700662437,2743136117,2786162206,2828572563,2871623813,2913421619,2955163660,2996466611,3037403120,3078014236,3118541692,3159027060,3199723842,3240758866,3282050930,3323639208,3365469684,3407914880,3450403854,3492871137,3534706337,3577669741,3621045177,3664743458,3708479158,3752523558,
Samoa,WSM,83150,83611,83944,84227,84562,85010,85603,86305,87069,87816,88486,89077,89591,90058,90493,90928,91369,91811,92247,92708,93192,93692,94212,94775,95384,96051,96777,97564,98377,99183,99952,100669,
Kosovo,XKX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yemen, Rep.",YEM,4849538,5041280,5237112,5448349,5690342,5972488,6300940,6667993,7052291,7424169,7762536,8059509,8321888,8561383,8796401,9040676,9297027,9561856,9834997,10114781,10400051,10691362,10989936,11295766,11608707,11928382,12254907,12587626,12924482,13262798,13600529,13936715,
South Africa,ZAF,16372788,16732383,17078031,17422087,17782225,18170014,18591137,19038460,19495221,19937776,20349444,20723937,21067188,21389667,21707484,22032344,22236137,22502396,22778967,23066331,23364882,23674819,23996230,24329391,24674565,25032015,25402217,25785481,26181681,26590575,27012199,27446835,
Zambia,ZMB,3452462,3558395,3664044,3769265,3874020,3978484,4082317,4186085,4291977,4402908,4520924,4647150,4780999,4920738,5063728,5208137,5353714,5501397,5652014,5806816,5966889,6132276,6303190,6481069,6667697,6864295,7071595,7289195,7515769,7749301,7988344,8232508,
Zimbabwe,ZWE,4301352,4459441,4617056,4770986,4917494,5053906,5178509,5291704,5395607,5493608,5588179,5680782,5770881,5856766,5935844,6006798,6069275,6125744,6181255,6242504,6314586,6399242,6496087,6605353,6726570,6859206,7003571,7159557,7325463,7498967,7678097,7862276,
